timestamp,switch_id,port,bps
1776350993.7786527,1,2,0
1776350993.7790182,1,3,0
1776350993.7794871,3,2,0
1776350993.7795072,3,3,0
1776350993.7806206,2,2,0
1776350993.7806544,2,3,0
1776350996.7792165,1,2,2183413.3333333335
1776350996.7792583,1,3,114218.66666666667
1776350996.7795677,3,2,105376
1776350996.779584,3,3,9306.666666666666
1776350996.7805188,2,2,1091210.6666666667
1776350996.7805505,2,3,1091941.3333333333
1776350999.7800896,1,2,2202229.3333333335
1776350999.7801292,1,3,762533.3333333334
1776350999.7808132,2,2,1118288
1776350999.7810395,2,3,1084314.6666666667
1776350999.8087637,3,2,0
1776350999.8088157,3,3,762533.3333333334
1776351002.7819982,1,2,2180224
1776351002.7820368,1,3,2210453.3333333335
1776351002.7827435,2,2,1091872
1776351002.782786,2,3,1088352
1776351002.783448,3,2,1158528
1776351002.7835784,3,3,1064037.3333333333
1776351005.7822416,1,2,2702933.3333333335
1776351006,1,3,3408277.3333333335
1776351005.7831843,2,2,955952
1776351005.7832239,2,3,1746981.3333333333
1776351005.7840788,3,2,2282960
1776351005.7841132,3,3,1113205.3333333333
1776351008.7829854,1,2,3932970.6666666665
1776351008.783028,1,3,3218704
1776351008.7837288,2,2,2033120
1776351008.7837584,2,3,1899850.6666666667
1776351008.7839165,3,2,2150421.3333333335
1776351008.7839305,3,3,1068282.6666666667
1776351011.785963,1,2,5589146.666666667
1776351011.7860122,1,3,3738725.3333333335
1776351011.7872753,3,2,2126197.3333333335
1776351011.7875228,3,3,1612528
1776351011.7885995,2,2,3346922.6666666665
1776351011.7886527,2,3,2242224
1776351014.7853858,1,2,5294421.333333333
1776351014.7854302,1,3,4928213.333333333
1776351014.7860842,3,2,1984538.6666666667
1776351014.7861238,3,3,2943674.6666666665
1776351014.7871647,2,2,3177354.6666666665
1776351014.787208,2,3,2117066.6666666665
1776351017.7862854,1,2,5673930.666666667
1776351017.786329,1,3,7142698.666666667
1776351017.786683,3,2,2699152
1776351017.7866995,3,3,4443546.666666667
1776351017.7871747,2,2,3403445.3333333335
1776351017.787207,2,3,2270485.3333333335
1776351020.7872608,1,2,6165802.666666667
1776351020.7873018,1,3,7614069.333333333
1776351020.7876084,3,2,3275493.3333333335
1776351020.7876265,3,3,4338576
1776351020.7887406,2,2,3128730.6666666665
1776351020.788775,2,3,3036885.3333333335
1776351023.7881582,1,2,8097146.666666667
1776351023.7882333,1,3,7743264
1776351023.7886035,3,2,3307605.3333333335
1776351023.7886221,3,3,4443733.333333333
1776351023.7892275,2,2,3282512
1776351023.7892554,2,3,4822896
1776351026.7886348,1,2,8685050.666666666
1776351026.7886746,1,3,8319546.666666667
1776351026.788985,3,2,4057680
1776351026.7890027,3,3,4253792
1776351026.7894957,2,2,3257925.3333333335
1776351026.7895231,2,3,5426949.333333333
1776351029.789071,1,2,8870768
1776351029.7891128,1,3,9895984
1776351029.7895935,3,2,5697360
1776351029.7896163,3,3,4190725.3333333335
1776351029.7907507,2,2,3322698.6666666665
1776351029.7907903,2,3,5532272
1776351032.7902086,1,2,9395280
1776351033,1,3,9715408
1776351032.790675,2,2,4081024
1776351032.7906995,2,3,5322154.666666667
1776351032.7922401,3,2,5875728
1776351032.7922795,3,3,3851616
1776351035.7911286,1,2,9907445.333333334
1776351035.7911677,1,3,9896912
1776351035.792439,2,2,5124885.333333333
1776351035.7924783,2,3,4782560
1776351035.793269,3,2,5980698.666666667
1776351035.7933025,3,3,3912176
1776351038.7923362,1,2,9176858.666666666
1776351038.7923768,1,3,9204101.333333334
1776351038.792863,2,2,5002256
1776351038.7929819,2,3,4174602.6666666665
1776351038.7931368,3,2,5184464
1776351038.7931502,3,3,4019637.3333333335
1776351041.7935596,1,2,8893221.333333334
1776351041.7936125,1,3,8909589.333333334
1776351041.7946422,3,2,4471088
1776351041.7947404,3,3,4438501.333333333
1776351041.7958164,2,2,4736176
1776351041.795865,2,3,4165120
1776351044.7949889,1,2,9571509.333333334
1776351044.7950313,1,3,9584288
1776351044.7955117,3,2,4813733.333333333
1776351044.7955317,3,3,4770554.666666667
1776351044.795778,2,2,4486709.333333333
1776351044.7957928,2,3,5084800
1776351047.8011532,1,2,9011792
1776351047.8011978,1,3,9042581.333333334
1776351047.8013663,2,2,3975125.3333333335
1776351047.8013809,2,3,5028592
1776351047.8024433,3,2,4542704
1776351047.8026524,3,3,4491978.666666667
1776351050.801054,1,2,9534304
1776351050.801094,1,3,9560954.666666666
1776351050.801596,3,2,4797594.666666667
1776351050.801619,3,3,4771258.666666667
1776351050.8017707,2,2,4678954.666666667
1776351050.801785,2,3,4855162.666666667
1776351053.8026564,1,2,9835760
1776351053.802701,1,3,9807397.333333334
1776351053.8043725,3,2,4951354.666666667
1776351053.8044124,3,3,4864117.333333333
1776351053.8048756,2,2,5307797.333333333
1776351053.8049018,2,3,4544112
1776351056.8037827,1,2,9448757.333333334
1776351056.8038597,1,3,9449696
1776351056.8051944,3,2,4474421.333333333
1776351056.8052592,3,3,4967200
1776351056.8061411,2,2,5150064
1776351056.8061755,2,3,4290805.333333333
1776351059.8047383,1,2,9767840
1776351059.804776,1,3,9766144
1776351059.805648,2,2,5350698.666666667
1776351059.8056858,2,3,4409066.666666667
1776351059.8070173,3,2,4216208
1776351059.8070548,3,3,5549936
1776351062.806551,1,2,9737354.666666666
1776351062.806594,1,3,9730080
1776351062.807317,2,2,5152693.333333333
1776351062.8073483,2,3,4584661.333333333
1776351062.8077672,3,2,4610496
1776351062.8077905,3,3,5119584
1776351065.807272,1,2,9910608
1776351066,1,3,9907125.333333334
1776351065.8081656,2,2,5241514.666666667
1776351065.8081977,2,3,4669093.333333333
1776351065.8083441,3,2,5108309.333333333
1776351065.8083584,3,3,4806890.666666667
1776351068.8089597,3,2,4566224
1776351068.8090088,3,3,4994160
1776351068.8091738,1,2,9567424
1776351068.8091877,1,3,9568458.666666666
1776351068.809776,2,2,5322085.333333333
1776351068.809801,2,3,4245338.666666667
1776351071.8122091,3,2,3884442.6666666665
1776351071.8122602,3,3,5013381.333333333
1776351071.812479,1,2,8882976
1776351071.8124957,1,3,8897824
1776351071.8128965,2,2,4781285.333333333
1776351071.8129241,2,3,4093792
1776351074.8131812,1,2,9265936
1776351074.813223,1,3,9269765.333333334
1776351074.813759,3,2,4167056
1776351074.813785,3,3,5102709.333333333
1776351074.813964,2,2,4153050.6666666665
1776351074.813979,2,3,5120784
1776351077.8153496,1,2,9617568
1776351077.8154192,1,3,9666165.333333334
1776351077.8160107,3,2,4866042.666666667
1776351077.8160424,3,3,4800122.666666667
1776351077.816242,2,2,4067808
1776351078,2,3,5557658.666666667
1776351080.8149965,1,2,9674133.333333334
1776351080.8150458,1,3,9636224
1776351081,3,2,4976261.333333333
1776351080.8154087,3,3,4668037.333333333
1776351080.8160543,2,2,4499845.333333333
1776351080.8160808,2,3,5174288
1776351083.8158617,1,2,9492250.666666666
1776351083.8159034,1,3,9479066.666666666
1776351083.8162277,3,2,4595365.333333333
1776351083.8162448,3,3,4875626.666666667
1776351083.816803,2,2,4866981.333333333
1776351083.8168314,2,3,4617370.666666667
1776351086.8162854,1,2,9737445.333333334
1776351086.816328,1,3,9746341.333333334
1776351086.8166456,3,2,4710906.666666667
1776351086.8166623,3,3,5035434.666666667
1776351086.8173664,2,2,5608736
1776351087,2,3,4128709.3333333335
1776351089.8176303,1,2,9993808
1776351089.8176708,1,3,9978165.333333334
1776351089.818005,3,2,4914293.333333333
1776351089.8180218,3,3,5063872
1776351089.8186796,2,2,5875024
1776351089.818708,2,3,4118784
1776351092.818989,1,2,9788080
1776351092.8190324,1,3,9814288
1776351092.8197427,3,2,4237850.666666667
1776351092.8198028,3,3,5576437.333333333
1776351092.8202255,2,2,5753904
1776351092.8203633,2,3,4034176
1776351095.8204653,1,2,9887573.333333334
1776351095.820718,1,3,9877781.333333334
1776351095.8215992,2,2,5473712
1776351095.8216329,2,3,4413861.333333333
1776351095.821778,3,2,4107200
1776351095.821792,3,3,5770581.333333333
1776351098.821901,1,2,9894613.333333334
1776351098.8219428,1,3,9898144
1776351098.8222442,3,2,4143536
1776351098.8222709,3,3,5762506.666666667
1776351098.8227456,2,2,5097381.333333333
1776351098.8227694,2,3,4801269.333333333
1776351101.8238935,1,2,10006624
1776351101.8239331,1,3,10005525.333333334
1776351101.824185,3,2,4640304
1776351101.8241987,3,3,5357322.666666667
1776351101.8244228,2,2,4987162.666666667
1776351101.824439,2,3,5023498.666666667
1776351104.825185,1,2,9781925.333333334
1776351104.8252282,1,3,9804053.333333334
1776351104.8255284,3,2,4890618.666666667
1776351104.825545,3,3,4913434.666666667
1776351104.8258076,2,2,5144090.666666667
1776351104.825824,2,3,4637834.666666667
1776351107.826909,1,2,9924842.666666666
1776351107.8269513,1,3,9924997.333333334
1776351107.827368,3,2,4971552
1776351107.827387,3,3,4953632
1776351107.827772,2,2,5988709.333333333
1776351107.8278058,2,3,3936133.3333333335
1776351110.8276455,1,2,9841136
1776351110.8276894,1,3,9832314.666666666
1776351110.8280044,3,2,4918880
1776351110.8280208,3,3,4913434.666666667
1776351111,2,2,5884362.666666667
1776351110.828713,2,3,3948624
1776351113.8369124,1,2,9878405.333333334
1776351113.8369694,1,3,9876373.333333334
1776351113.8378875,2,2,5259648
1776351113.837923,2,3,4626656
1776351113.8381171,3,2,4938714.666666667
1776351113.8381314,3,3,4937658.666666667
1776351116.8316522,1,2,9884960
1776351117,1,3,9888976
1776351116.8328154,3,2,5104773.333333333
1776351116.8328507,3,3,4784016
1776351116.8334544,2,2,4385840
1776351116.8335857,2,3,5491333.333333333
1776351119.8332248,1,2,8640773.333333334
1776351119.8332665,1,3,8616677.333333334
1776351119.8337064,3,2,5286101.333333333
1776351119.8337305,3,3,3338837.3333333335
1776351119.8339572,2,2,3699253.3333333335
1776351119.8339725,2,3,4941520
1776351122.8350716,1,2,9322112
1776351122.8351147,1,3,9340048
1776351122.8353631,3,2,5653776
1776351122.8353767,3,3,3678010.6666666665
1776351122.8355503,2,2,4560448
1776351122.8355622,2,3,4761850.666666667
1776351125.8366716,1,2,9986437.333333334
1776351125.8367121,1,3,9995109.333333334
1776351125.837023,3,2,4944581.333333333
1776351125.8370397,3,3,5042629.333333333
1776351126,2,2,4988394.666666667
1776351125.8380082,2,3,4998042.666666667
1776351128.8382525,1,2,9898320
1776351128.8382957,1,3,9890010.666666666
1776351128.8388212,3,2,4412805.333333333
1776351128.8388417,3,3,5485104
1776351128.8396137,2,2,4944512
1776351128.839649,2,3,4961706.666666667
1776351131.839639,1,2,9977797.333333334
1776351131.8396804,1,3,5163541.333333333
1776351131.8400295,3,2,2919898.6666666665
1776351131.8400476,3,3,2243642.6666666665
1776351131.8405926,2,2,5154629.333333333
1776351131.8406236,2,3,4815269.333333333
1776351134.8412726,1,2,9849770.666666666
1776351134.8413143,1,3,3299802.6666666665
1776351134.8416445,3,2,2202954.6666666665
1776351134.8416626,3,3,1096848
1776351134.8419662,2,2,6261914.666666667
1776351134.8420794,2,3,3587856
1776351137.8429365,1,2,6929104
1776351138,1,3,3294149.3333333335
1776351137.843971,3,2,2198661.3333333335
1776351137.8440146,3,3,1095712
1776351137.844633,2,2,6397360
1776351137.8446674,2,3,531744
1776351140.8436046,1,2,1738362.6666666667
1776351140.8437588,1,3,3296901.3333333335
1776351140.8447764,2,2,1738362.6666666667
1776351140.8448195,2,3,112
1776351140.845014,3,2,2200277.3333333335
1776351141,3,3,1096624
1776351143.8443084,1,2,0
1776351143.844348,1,3,3261445.3333333335
1776351143.8446615,3,2,2334037.3333333335
1776351143.844678,3,3,927408
1776351143.844981,2,2,0
1776351143.8450005,2,3,0
1776351146.8465283,1,2,0
1776351146.846588,1,3,1796885.3333333333
1776351146.8470302,3,2,1796885.3333333333
1776351146.847387,3,3,0
1776351146.848147,2,2,0
1776351146.848178,2,3,0
1776351149.8482819,1,2,0
1776351149.848324,1,3,352
1776351149.8486466,3,2,352
1776351149.848663,3,3,0
1776351149.8492873,2,2,0
1776351149.849316,2,3,0
1776351152.8504403,1,2,0
1776351152.8505266,1,3,0
1776351152.8507955,3,2,0
1776351152.8508098,3,3,0
1776351152.8509865,2,2,0
1776351152.8510106,2,3,0
1776351156,1,2,0
1776351155.8526025,1,3,0
1776351155.8530002,2,2,0
1776351155.8530176,2,3,0
1776351155.8530846,3,2,0
1776351155.8530936,3,3,0
1776351158.8546572,1,2,0
1776351158.8546946,1,3,0
1776351158.8547962,3,2,0
1776351158.854806,3,3,0
1776351158.8551102,2,2,0
1776351158.8551288,2,3,0
1776351161.8562362,1,2,0
1776351161.8562734,1,3,0
1776351161.8565683,3,2,0
1776351161.8566604,3,3,0
1776351161.8580842,2,2,0
1776351161.8581235,2,3,0
1776351164.8582313,1,2,0
1776351165,1,3,0
1776351164.858698,3,2,0
1776351164.8587255,3,3,0
1776351164.8593516,2,2,0
1776351164.8593793,2,3,0
1776351167.8607597,1,2,0
1776351167.8607981,1,3,0
1776351167.8614883,2,2,0
1776351167.8615134,2,3,0
1776351167.861621,3,2,0
1776351167.8616333,3,3,0
